path,question,answer,prediction
74/74c72fba.jpg,What shape are the objects?,round,oval
0f/0f517ec1.jpg,What is the case's pattern?,floral,yes
3b/3b4c6e68.jpg,Is the phone case glittery?,yes,yes
ac/ace5f792.jpg,What phrase is written?,easy,yes
78/787f3d19.jpg,What object is next to the bear?,wood,phone
1c/1cebd0d8.jpg,What color is the phone's bezel?,black,black
99/9965f9a2.jpg,What is the object's shape?,rectangular,rec
4c/4c1844d8.jpg,What is on the case?,words,yes
77/77fb0e73.jpg,What color is this object?,blue,blue
a1/a13066aa.jpg,How many rings are stacked?,3,5
df/df87c5b7.jpg,What is the case's material?,plastic,yes
8e/8e321333.jpg,Is it empty?,yes,yes
b5/b5e15b86.jpg,What color is the phone case?,yellow,no
60/60bfc6c7.jpg,What color is the sole?,white,white
ec/ec9adcc4.jpg,What is this?,bed,no
72/72da0c2d.jpg,What color are the chevrons?,black,white
83/83d18f64.jpg,What kind of heel does it have?,stiletto,mid
ac/acbd7d24.jpg,What shape is the pendant?,wisconsin,oval
57/57d9cf89.jpg,What are the hands?,black,hands
d9/d9082fd2.jpg,Is there a camera cutout?,yes,yes
65/6577d301.jpg,What is the shape of the case?,rectangle,rec
16/16b28ae4.jpg,What direction are the arrows pointing?,down,left
44/44aa398a.jpg,What color are the handles?,brown,brown
95/956647ad.jpg,What shape is dangling?,yin-yang,oval
6d/6d07238d.jpg,What color is the fabric?,white,white
e7/e73c4d01.jpg,What color is the top?,yellow,no
39/39c8cffd.jpg,What shape are the logos?,square,oval
00/00d75bf8.jpg,What shape is the case?,rectangular,rec
2b/2b55a688.jpg,Is there a compass rose?,yes,yes
61/614c7cc2.jpg,What is the case's pattern?,diagonal,yes
5a/5aedf68b.jpg,Is the sheet rectangular?,yes,yes
6f/6f296491.jpg,What word is printed?,daddy's,no
ce/ce4e09d8.jpg,What shape is the sun?,round,round
03/03c11c10.jpg,What is drawn on the easel?,boat,yes
b4/b4f825cb.jpg,What shape are these?,square,rectangular
18/1861c46c.jpg,What shape are the small icons above the owls?,hearts,oval
45/45b5adc0.jpg,Is there a moon?,yes,yes
c1/c1244820.jpg,What color is the edging?,blue,black
12/12daa30b.jpg,Is it glittery?,yes,yes
e0/e0d5048e.jpg,How many cameras are visible?,3,2
9d/9d03b1df.jpg,What type of connector is visible?,usb,baseball
95/95f9455c.jpg,Is there a camera?,yes,yes
7c/7ca32283.jpg,How many joysticks present?,2,2
5a/5a537918.jpg,What material is the base?,plastic,metal
2c/2c2298db.jpg,What shape is the pendant?,heart,oval
9c/9c543966.jpg,What color are these?,oat,beige
d4/d495ff50.jpg,What is the glasses' function?,safety,no
0a/0a20170e.jpg,What color are the zigzags?,gold,yes
4f/4f3a6ee2.jpg,Is this a necklace or bracelet?,necklace,yes
17/176b79fb.jpg,What is the primary object?,sheets,hands
01/01f2b368.jpg,What is the bag count?,thirty,0
e7/e789dc3b.jpg,What design is present?,floral,yes
73/73f1fd00.jpg,What is the jewel's material?,crystal,yes
c1/c1e5da95.jpg,What is the case's pattern?,circles,yes
7f/7f9db43d.jpg,Is there a keyhole present?,yes,yes
41/415baa05.jpg,What is the container made of?,lace,metal
3f/3f2df1b6.jpg,What color is predominant?,teal,blue
bc/bcbe1559.jpg,What is the background color?,black,black
c6/c680f6a3.jpg,What color is the camera outline?,blue,black
c8/c80f86b6.jpg,How many buttons are visible?,2,one
06/06b46070.jpg,What color is the bow?,red,red
cf/cf93cc39.jpg,What is the boot's color?,peach,brown
94/94625f9a.jpg,Is there a hand present?,yes,yes
c2/c2d43a62.jpg,What is the animal's fur color?,white,white
80/805fac3a.jpg,Is there red?,yes,yes
7c/7c55299e.jpg,What is the material?,suede,yes
52/52be2ced.jpg,What is the case's color?,white,it
15/153e571c.jpg,Is the design abstract?,yes,yes
b4/b4f6008b.jpg,What color is the phone screen?,blue,it
cf/cfab2217.jpg,What is the main color?,blue,blue
6e/6e72e0cd.jpg,What is the most vibrant color?,rainbow,yes
59/599182d4.jpg,What fruit is printed?,orange,yes
d2/d2e58f22.jpg,What animal is pictured?,panda,yes
d8/d820e2ea.jpg,How many handles?,2,2
1d/1d6277ad.jpg,What is the background color?,white,white
a8/a88b1d05.jpg,What is the case material?,wood,wood
5a/5a756a67.jpg,How many boots are present?,1,2
04/040b63fb.jpg,Is this a solid color case?,no,no
e9/e9d4fa55.jpg,Are there buttons visible?,yes,yes
61/61a9ced2.jpg,What is the pattern?,snakeskin,no
a5/a5076905.jpg,What is the time of day?,sunset,yes
19/19442fe1.jpg,What object has a flower?,case,phone
e4/e489e977.jpg,What is the background material?,wood,no
36/36d964fc.jpg,How many sandals?,1,2
a8/a804ab4c.jpg,What shape are the pink elements?,stars,yes
13/1378edf4.jpg,What shape is pendant?,octagon,oval
d8/d85f3c22.jpg,What color is the phone case border?,white,blue
df/df345f3e.jpg,What is the dominant color?,blue,blue
32/324df00c.jpg,What direction is the motorcycle facing?,forward,left
29/29617778.jpg,What kind of pattern is on the strap?,snake,yes
a3/a35b1827.jpg,Are there flowers visible?,yes,yes
58/58f02003.jpg,Is the product verified?,yes,yes
45/45bb9025.jpg,What seasonal characters are shown?,santa,yes
76/76403a13.jpg,What kind of background?,green,no
02/02c89fdd.jpg,What color is the case?,gold,it
9d/9dcfaf06.jpg,How many cameras are visible?,3,0
2e/2e228ea3.jpg,What animal is pictured?,bear,yes
62/6274ab2d.jpg,What pattern is in the red area?,chevron,yes
84/84286c4c.jpg,What is the sole color?,white,white
8f/8f7a3045.jpg,Is there a camera cutout?,yes,yes
24/2456c4d2.jpg,What color is the horizontal line?,red,no
83/8391cc10.jpg,What is on the nightstand?,lamp,hand
ee/ee0e905f.jpg,What is the text on the case?,supergirl,yes
9a/9ada2e5a.jpg,What is the primary building material of the pathway?,wood,wood
3f/3f4f9e3d.jpg,What color is the case?,blue,blue
91/9122c6dd.jpg,What is the product?,case,yes
bf/bfd8fa8e.jpg,What color is the plate?,white,no
0d/0db922a4.jpg,What shape are the stones?,round,oval
1d/1d44e4df.jpg,What animal is pictured?,lion,no
bb/bb6fa9cf.jpg,What is the chair's color?,white,black
10/10d0c5f4.jpg,What shape is the adapter?,rectangular,rectangular
c9/c9c59b47.jpg,What is the case's pattern?,plaid,yes
b5/b5f377e7.jpg,Are there any buttons?,yes,yes
9c/9c8c199e.jpg,What is the base color?,gold,it
f2/f2567d9c.jpg,What color is the background?,beige,maroon
6f/6f2f8c3b.jpg,What is the backing's design?,brushes,no
80/80773ebb.jpg,How many hands are visible?,3,2
2a/2ac0c223.jpg,Does this case have glitter?,yes,yes
63/639b0688.jpg,What texture is the case?,wooden,yes
50/501d15c2.jpg,What shape is the device?,rectangular,rectangular
e2/e24b546e.jpg,What is the shoe color?,navy,blue
44/44caf298.jpg,Is it an iPhone?,no,no
39/39953dd4.jpg,What color are the hearts?,blue,no
75/75b50077.jpg,What shape is this casserole?,round,oval
d0/d09968ca.jpg,What color are the flowers?,purple,purple
e9/e9be437a.jpg,What shape is visible?,heart,rec
d6/d6802f22.jpg,Are there trees?,yes,yes
5c/5c5d6201.jpg,What is the motorcycle's color?,silver,black
ae/ae0f4649.jpg,What type of footwear?,shoes,sandals
5c/5c2f84e6.jpg,What object is present?,case,no
32/32ad31c1.jpg,Is the chain silver?,yes,yes
24/242852f5.jpg,What is the blade's material?,metal,metal
b0/b0555962.jpg,How many knobs are visible?,2,6
46/46cf1483.jpg,What kind of object is this?,case,phone
4d/4ddaa1f6.jpg,Is it foldable?,yes,no
a7/a755fbd4.jpg,What shape is it?,rectangle,no
ba/ba2a0872.jpg,What color is the writing?,gold,yes
be/be79f7b8.jpg,What color is the shoe?,brown,black
d1/d1da7a82.jpg,What is featured on the phone case?,dock,yes
24/24e94f2a.jpg,What pattern does text have?,glitter,no
30/30396bab.jpg,What kind of light is shining?,sunlight,no
e9/e9b140ba.jpg,What is the shape of the case?,rectangular,rec
7a/7aafda62.jpg,What is the case's pattern?,cartoon,no
f3/f3b13e26.jpg,How many screws?,2,6
82/824f3150.jpg,What material does the case look like?,marble,yes
de/dea770c8.jpg,What color is the sky?,blue,blue
6f/6f5d0a21.jpg,Is this dispenser short?,yes,yes
07/07595fb9.jpg,What is the case's design?,abstract,yes
4c/4ca42681.jpg,What are on the table?,plants,vase
a3/a304e6c7.jpg,What is the case's design style?,abstract,yes
35/350a849a.jpg,Are there stones?,yes,yes
94/947eeb9a.jpg,What does the case show?,teddy,yes
d7/d77e8e08.jpg,Is this a single object?,yes,yes
8d/8dba6f08.jpg,What object has gems?,crown,hand
d7/d71d8579.jpg,Is the case black?,yes,yes
61/61be434d.jpg,Is it shiny?,yes,yes
12/1213887f.jpg,What color is the phone case primarily?,black,yes
2d/2dda5000.jpg,Is the chair cushioned?,yes,yes
e8/e8c5f378.jpg,What is the sole color?,white,white
5e/5e4db5a8.jpg,Is there a buckle?,yes,yes
5a/5a71ad83.jpg,What color are the dishes?,red,maroon
ee/ee18cc01.jpg,What is the background color?,beige,white
2b/2b6c37b2.jpg,How many long screws are visible?,2,6
e2/e27adcdc.jpg,What is in the background?,grass,no
1a/1a828dcf.jpg,What color is the beak?,orange,it
9f/9f00e90e.jpg,Does it have pockets?,yes,yes
0f/0fa2cfcc.jpg,How many lenses exist?,1,two
29/29b54d37.jpg,What color is the sandal?,black,black
3f/3f2daf6a.jpg,What color is the dog?,white,white
b8/b8f56b3c.jpg,What color are the shoes?,gray,yes
a0/a0420a7d.jpg,Are the earrings studs?,yes,yes
c4/c4894042.jpg,Is the ring shiny?,yes,yes
72/7204d3dd.jpg,What two words are printed?,you,yes
c7/c7f5bc10.jpg,What is the phone's color?,gray,it
f3/f396846d.jpg,What is the landscape backdrop?,seascape,no
bb/bbeca180.jpg,What is the desk's material?,wood,wood
7f/7fa994ef.jpg,What is the ring's color?,silver,yes
26/262b2191.jpg,What color is the case?,orange,no
52/52286d0d.jpg,What is the position of the top sheet?,stacked,it
ba/ba43e424.jpg,What shape are the labels?,square,no
d2/d2875263.jpg,How many pillows are displayed?,3,4
47/47d9b38b.jpg,Are the straps thin?,yes,yes
0f/0f4eb134.jpg,What is the hair color?,blonde,blonde
ca/cac7e26c.jpg,What color is the umbrella?,blue,yes
ec/eca86dda.jpg,What shape are the labels?,square,no
39/39ea71ab.jpg,What is the product?,case,no
01/01d0256d.jpg,What color is the backdrop?,black,no
b5/b5c08805.jpg,What type of case is it?,phone,yes
5a/5a9d2059.jpg,What color are the flowers?,red,red
51/51c421af.jpg,How many cloths are present?,7,6
83/83644cf6.jpg,What color is the third binder?,green,it
b3/b3c4966b.jpg,What color is the sandal?,black,black
34/3417c135.jpg,How many sandals are there?,1,0
75/756178e3.jpg,What covers much of the phone case?,droplets,yes
3c/3cad3c74.jpg,What color is the phone case?,blue,blue
e9/e9097482.jpg,What shape are the stones?,square,oval
a5/a5158e5e.jpg,What is drawn on the case?,smiley,yes
49/4940c6ba.jpg,Is there any writing?,yes,yes
8a/8af806cb.jpg,How many colors are visible?,3,6
c6/c65f4ee9.jpg,What shape is visible?,heart,yes
d3/d362c59a.jpg,What color is the sofa?,brown,brown
10/1093cfca.jpg,What kind of chain is it?,silver,long
17/176c976f.jpg,Is the case matte?,yes,yes
47/47a566a1.jpg,What is the item's color?,multi-colored,maroon
89/8995d4db.jpg,What is the item?,case,yes
36/360e7cf5.jpg,What shape are the decorations?,heart,yes
5c/5c3c94b7.jpg,What shape are the earrings?,round,oval
2f/2fca5fbe.jpg,What holds the bouquet?,vase,hand
5d/5df43da3.jpg,What pattern is the shirt?,striped,yes
16/16402a16.jpg,What is on the case?,marshmallow,yes
4c/4c7af767.jpg,What is the necklace's shape?,state,rectangular
8b/8bfa3f68.jpg,What is the hair color of one cartoon character?,blonde,blonde
75/75997d50.jpg,What is the buckle color?,gold,it
61/611ce169.jpg,What is in the frame?,flowers,flowers
8e/8e8b13e0.jpg,What shape is the camera flash?,circle,oval
87/8763dc19.jpg,What color is the lining?,black,black
01/01612f17.jpg,What kind of shoe are these?,oxfords,dress
a8/a892994a.jpg,Is the handle angled?,yes,yes
1c/1c7a25c5.jpg,How many drawers are visible?,3,4
87/87c54c53.jpg,What animal is printed?,parrot,yes
bf/bf8be087.jpg,What material are the handles?,metal,metal
a9/a9a7213d.jpg,What object has the bird?,case,metal
52/521374db.jpg,What is the skirt's color?,white,no
c8/c8a44147.jpg,What is the case's primary color?,black,black
14/148133c4.jpg,What color is the plate?,nickel,no
71/713e042b.jpg,How many earrings are present?,2,2
a7/a7e0cf93.jpg,What color is the background?,pink,white
72/7296dc9d.jpg,What is the image background?,wood,no
c4/c4f8ae33.jpg,Is the duck in water?,yes,yes
4f/4f654a8e.jpg,What shape are the pans on the left?,round,oval
2f/2f03a489.jpg,What color is the suitcase?,purple,maroon
1b/1b2e79c0.jpg,What color are the shoes?,pink,maroon
a1/a16d0f44.jpg,What kind of footwear?,shoes,sneakers
39/397cf0e5.jpg,What pattern is featured?,chevron,yes
81/817e0299.jpg,Are they textured?,yes,yes
65/6555f57c.jpg,How many people are depicted?,2,2
be/be051615.jpg,How many small screws are there?,2,6
ba/bade4e6f.jpg,How many are in the pack?,fifteen,0
28/28010512.jpg,Are there many diamonds?,yes,yes
e5/e5e2949e.jpg,What shape are the bulbs?,round,oval
e0/e0f8483a.jpg,What is the necklace's color?,silver,silver
8c/8c356f4d.jpg,What is the case for?,phone,no
15/1543f601.jpg,What is it?,bracelet,hands
82/823c373f.jpg,What color is the border?,black,black
24/24f88179.jpg,What is the product's type?,desk,no
1b/1bce01d0.jpg,What color is the phone case?,pink,yes
3c/3c4333d7.jpg,What object is above 'Queen'?,crown,yes
30/300f359a.jpg,Is there a window?,yes,yes
4e/4e23b23c.jpg,What shape is the case?,rectangular,rectangular
5c/5cd47a60.jpg,What is the bed's orientation?,forward,it
40/40ed71ea.jpg,Is the product hard?,no,yes
43/43c34777.jpg,What is the base color?,silver,white
a5/a524714e.jpg,What is the band's material?,silver,metal
f1/f11e19f8.jpg,What color are the bulbs?,white,white
e5/e59cede3.jpg,What surface is it on?,white,yes
b6/b6817f04.jpg,How many oranges are visible?,5,6
b4/b4a03ef6.jpg,How many camera holes are present?,1,0
8e/8e63aabc.jpg,Is the character smiling?,yes,yes
85/85180e0d.jpg,What is the case's color?,multicolor,it
a3/a37281db.jpg,Is it long?,yes,no
4f/4fd672e0.jpg,What room might contain this?,bedroom,no
4d/4d68028b.jpg,Is the background white?,yes,yes
37/379c4288.jpg,What material is it?,unknown,yes
1f/1f706d30.jpg,How many buttons are present?,3,6
06/06a75ef5.jpg,What is the strap's pattern?,mandala,yes
91/91a26e6b.jpg,What color is the case?,brown,no
09/0919ed9a.jpg,What are these?,shoes,yes
a5/a5d59205.jpg,What color is the sky?,orange,blue
d5/d563adc6.jpg,What material is the tip?,metal,metal
f1/f1802b31.jpg,How many chains appear?,1,0
1a/1ad20105.jpg,What device is this for?,phone,no
56/56f8b3c9.jpg,Is there a pillow?,yes,no
59/59fc2bfa.jpg,What is the shiny?,moon,yes
0a/0a57c7bf.jpg,What direction is the wood grain?,vertical,no
2f/2fd47d53.jpg,Are these sneakers laced?,no,no
35/35df0a62.jpg,What color are the laces?,blue,blue
70/705abf2b.jpg,What is the pattern?,nan,no
cb/cbd5cf0b.jpg,Is the toe pointed?,yes,yes
3b/3bdfb001.jpg,What color is the bottom-left heart?,pink,blue
e4/e4ddea20.jpg,How many camera lenses are visible?,3,2
e1/e142243a.jpg,Is there red present?,yes,yes
0f/0f578283.jpg,Is the boot a single?,yes,yes
00/0022f591.jpg,What is the case made of?,plastic,metal
3b/3b9bd605.jpg,What shape are the decorations?,stars,no
2a/2a29c509.jpg,What shape is top stone?,round,oval
b0/b0618580.jpg,Is there greenery present?,yes,yes
a3/a3a9ad8a.jpg,What color is the case's border?,black,black
bc/bcd6ff0b.jpg,Is the phone case shiny?,no,yes
5c/5c04ecf7.jpg,How many shoes are shown?,1,1
52/521f0f5e.jpg,What is on the case?,landscape,trees
5b/5bc91e28.jpg,Is there a heel?,yes,yes
18/18b00a2e.jpg,What is the bag's primary color?,black,black
e0/e0bd3403.jpg,What pattern is on the case?,bricks,yes
ab/ab28423a.jpg,Is the case rounded?,yes,yes
51/512ea8a5.jpg,What color is inside?,black,black
2a/2aa71995.jpg,Is there red color present?,yes,yes
43/43b1ccca.jpg,What material is the item?,crystal,yes
b1/b1321af4.jpg,What is the sky's color?,pink,dark
b8/b8b87cfe.jpg,What is the case's background?,black,no
2a/2a48c3e1.jpg,Does the phone case have camera holes?,yes,yes
51/51cca5bc.jpg,How many words are spelled?,3,6
7a/7a84f5d8.jpg,How many boxes are there?,4,4
93/934b09b4.jpg,What color is the bottom?,brown,maroon
e1/e15afae7.jpg,How many earrings are visible?,2,2
9e/9e27ae92.jpg,What color is prominent?,pink,yes
cf/cf56ab96.jpg,What shape is the camera hole?,round,oval
72/72218a39.jpg,Is there a camera?,yes,yes
11/118383b0.jpg,What material covers the case?,wood,wood
71/71d13856.jpg,What kind of device is it?,phone,phone
83/839627a5.jpg,What is the shape surrounding stone?,square,no
4b/4bf76fb7.jpg,What pattern is on the shoe?,stripes,no
41/410d62fe.jpg,What color is the cable?,white,white
4c/4cd9499a.jpg,What are the prominent colors?,blue,yes
4f/4f4f0af3.jpg,Is it light or dark?,light,light
27/27622ca0.jpg,What shape is the lower charm?,circle,oval
15/158e424c.jpg,What is product's type?,case,no
cc/cccd986e.jpg,How many shoes are there?,2,2
00/002e98af.jpg,Is the surface soft?,yes,yes
5e/5e39ac5f.jpg,What is the color of the laces?,white,white
28/28472bb5.jpg,How many cameras are visible?,3,2
d7/d7f832d6.jpg,What color is the bow?,pink,yes
ae/aea41fb1.jpg,How many wheels are visible?,4,6
7c/7c4e7d4c.jpg,What is the object?,phone,yes
ce/ce2eecf0.jpg,What color is the sheet?,white,white
ea/ea3a2a3c.jpg,What material is the patch?,denim,no
02/023553b8.jpg,What is on the nightstand?,lamp,lamp
5d/5db1e3e1.jpg,What pattern does the boot have?,croc,no
7c/7c17feb1.jpg,Are there brown highlights?,yes,yes
61/61a9ced2.jpg,Is there only one shoe?,yes,yes
88/889a8897.jpg,What is behind the whale?,stars,no
93/93d7b9ec.jpg,What kind of furniture is this?,sofa,hand
71/719a7e26.jpg,What type of footwear is shown?,shoes,sneakers
d9/d94f1347.jpg,What shape is the design?,floral,oval
d7/d7a17e81.jpg,What is the color of the far right cartridge?,cyan,black
09/09027a3e.jpg,What word is on the case?,you,yes
45/45ce9cba.jpg,How many earrings are visible?,2,2
0d/0d22f9b5.jpg,Is there a drawing of sunglasses?,yes,yes
01/01560a06.jpg,What color is the dress?,purple,purple
db/db23ffbc.jpg,What is on the bag?,flowers,yes
c0/c0ebabfc.jpg,How many cameras are visible?,1,0
da/dad0e734.jpg,How many wings are present?,4,2
4c/4c1c1bc5.jpg,What color are eyes?,blue,black
b0/b08c27d8.jpg,What is the chair missing?,arms,legs
cc/cc239121.jpg,What type of tie is shown?,bow,no
e2/e205e6ca.jpg,Is the case shiny?,no,no
0f/0f888e58.jpg,What is next to the arm?,pocket,no
cf/cf3edf04.jpg,How many knuckles does it have?,5,0
7c/7c17feb1.jpg,What is the pattern style?,abstract,yes
32/32631421.jpg,What is product's type?,cellular,no
21/2199baeb.jpg,What is the object's orientation?,vertical,no
9f/9facecea.jpg,How many sheets?,4,10
37/376a78df.jpg,How many boxes are there?,3,two
8b/8bfc26d1.jpg,What is the dominant color?,blue,no
d1/d1323341.jpg,What is the product's pattern?,geometric,yes
37/37e0e61d.jpg,What is the color of the bottom?,red,blue
4a/4aef8aa3.jpg,How many surge protector outlets are present?,6,6
07/0770a84a.jpg,What kind of strap is attached?,chain,no
76/76d8ada2.jpg,What is the dominant color?,red,yes
84/84fbb40a.jpg,Are the dishes patterned?,yes,yes
cc/cc9d2f13.jpg,What is the background color?,dark,white
60/60bfc6c7.jpg,What color is the inside?,black,white
bd/bd186969.jpg,What is the pattern predominantly?,hearts,yes
f0/f066a553.jpg,Is this case plain or designed?,designed,no
58/58985707.jpg,Is the phone standing?,yes,yes
24/24fdbabc.jpg,Is the sheet folded?,yes,yes
5f/5fbc3d0d.jpg,What shape is the dispenser?,square,rectangular
52/52b611b2.jpg,What color is it?,blue,blue
c3/c339ab63.jpg,What kind of bed is this?,bunk,no
78/78db288e.jpg,What is on the right table?,lamp,vase
75/754153fc.jpg,What shape is the device?,rectangle,rec
49/4976b771.jpg,How many dividers are present?,4,6
17/174b4630.jpg,Is the item colorful?,yes,yes
3c/3cf6bb7d.jpg,What material is this?,fabric,yes
92/928824e3.jpg,What is in front of the house?,gravel,hand
c1/c15a4236.jpg,What color is the boot?,black,black
4c/4cb9b096.jpg,How many stars are visible?,3,5
24/2400dec0.jpg,What type of jewelry?,earrings,yes
3a/3a932336.jpg,What shape is visible?,heart,yes
81/81034e6b.jpg,What is the color of the circular pattern?,yellow,black
d7/d7dd0380.jpg,Are butterflies present?,yes,no
0b/0b389e1f.jpg,Are the legs dark?,yes,yes
b1/b1b40818.jpg,What's the device?,phone,yes
5b/5bfdfac4.jpg,How many sections are visible?,9,ten
ec/ec79fed2.jpg,What material is on the back?,denim,metal
0c/0cc52dc6.jpg,How many lens holes are present?,2,2
44/441db903.jpg,Is the backpack closed?,yes,yes
eb/eb2f382d.jpg,What color is near the top right?,red,maroon
a0/a0f55389.jpg,What is the heel's height?,high,mid
e5/e566c9a0.jpg,How many curtains are visible?,2,2
ea/eacbf09a.jpg,What material is it?,metal,metal
3a/3a33c088.jpg,What color is the cat?,white,white
32/32df48c9.jpg,What is the sole color?,brown,brown
ea/ea13786a.jpg,What is product type?,clock,hand
50/50dc2a96.jpg,Are these tied?,yes,yes
95/95811551.jpg,What color is the hat?,charcoal,black
55/55d33cc7.jpg,What color is the background?,beige,white
0d/0dbf3ff4.jpg,What is the phone case for?,phone,no
e4/e49c9b54.jpg,What type of case is this?,phone,no
cc/cc6dc801.jpg,What colors are the butterflies?,multicolor,maroon
33/3331060b.jpg,What is the material?,metal,metal
cb/cbc15230.jpg,What direction is necklace?,vertical,no
96/962dafdd.jpg,Is there a spoon?,no,no
ad/ad7c2867.jpg,What color is the table?,beige,no
a1/a19b8cb4.jpg,Is the handle straight?,yes,yes
36/3695305d.jpg,How many connectors are visible?,2,2
b8/b8a0d342.jpg,Does it have a design?,yes,yes
9e/9ea4d8cf.jpg,What kind of closure is shown?,buckle,almond
a6/a69c30c8.jpg,What is the item?,shoe,yes
e0/e0a5b5be.jpg,What is the background environment?,forest,trees
87/875de9a1.jpg,What is the color of the jacket?,yellow,yellow
57/572f3834.jpg,What is the object in the center?,butterfly,no
86/86c9c64e.jpg,Is it plastic?,maybe,yes
a7/a790cd90.jpg,What is the footwear's sole color?,black,black
cd/cd45674b.jpg,What direction are they facing?,diagonal,forward
06/063275e4.jpg,What is the case's main color?,pink,no
3e/3e5c633d.jpg,What pattern is featured?,tuk-tuks,yes
e6/e6909351.jpg,Is the stand metallic?,yes,no
79/79f6ca34.jpg,What does the case say?,smile,yes
b1/b177d7e5.jpg,What orientation is the case?,vertical,no
a7/a773dedd.jpg,What color is the flower?,pink,yes
95/9594c350.jpg,What is the product?,case,no
c0/c0052bf8.jpg,How many camera lenses are visible?,3,0
9d/9d765201.jpg,What shape is the button?,square,oval
eb/ebd86be5.jpg,What color is the background?,blue,blue
df/df725556.jpg,What is the item?,necklace,yes
13/13f91077.jpg,What material are these?,suede,yes
3c/3c3c74bf.jpg,What is the case's design?,characters,yes
df/dfb5daab.jpg,What closure is shown?,velcro,almond
3f/3f21f718.jpg,Is the gem round?,yes,yes
c3/c3504bbd.jpg,What's the case material?,others,metal
ef/efa23718.jpg,How many shoes are there?,1,2
e8/e877476d.jpg,What is the background?,white,no
39/39826f9c.jpg,What is the background color?,purple,yes
ca/ca7f9fe6.jpg,Are the cups plain?,no,yes
ed/edcfbb52.jpg,What shape is the object?,bowtie,curved
e8/e824e8e8.jpg,What color is the top-left corner?,black,white
86/86c20d0e.jpg,Does this have texture?,yes,yes
20/20a178e6.jpg,What color is the phone?,white,black
cd/cddee340.jpg,What is the case color?,black,black
93/9393d844.jpg,Are there any water droplets?,yes,yes
bc/bc4220bd.jpg,How many characters are sitting?,2,2
74/748d1822.jpg,What word comes after GIRL?,magic,no
ad/ad45cc2c.jpg,What kind of case is this?,phone,hand
d2/d28f0074.jpg,What shape is in the middle?,heart,oval
da/da3de8fb.jpg,How many objects?,2,5
7c/7cc182ae.jpg,What color is the background at nine?,lavender,white
3f/3fdfa554.jpg,Is it sitting?,yes,yes
97/97944f81.jpg,What is the chain material?,metal,metal
48/48849767.jpg,Is there a sole?,yes,yes
b9/b98bd0c3.jpg,What is the background color?,black,yes
4f/4f9e4884.jpg,What is the gender of the figures?,both,female
00/009c03fa.jpg,What color is the lampshade?,grey,white
0d/0db2d3e7.jpg,What is the texture?,rough,yes
54/541057b9.jpg,What is the color of cacti?,white,green
b8/b851ec84.jpg,What's the beard's color?,blue,it
a1/a15c59c2.jpg,How many legs does it have?,4,6
7e/7e9b6f2e.jpg,What material are the big elements?,rocks,metal
f1/f1d75540.jpg,Is there a stud?,yes,yes
26/26dab0a4.jpg,What color is the diagonal shape?,yellow,no
22/225638ee.jpg,What is the background color?,white,white
bf/bf7e4d21.jpg,How many moons are visible?,2,6
7b/7b3c9f07.jpg,What material is it?,leather,no
